ENTREVISTA,REGIAO,UF,MUNICIPIO,qtd_geladeira,kwh_geladeira,qtd_chuveiro_eletrico,kwh_chuveiro_eletrico,qtd_ventilador,kwh_ventilador
66135,Sudeste,RJ,São João de Meriti,1.0,45.0,1.0,13.75,1.0,2.940000000000001
66136,Sudeste,RJ,São João de Meriti,1.0,45.0,1.0,88.0,2.0,29.496
66137,Sudeste,RJ,São João de Meriti,1.0,45.0,1.0,80.0,1.0,0.07583333333333334
66138,Sudeste,RJ,Niterói,1.0,45.0,1.0,206.25,2.0,35.532000000000004
66139,Sudeste,RJ,Niterói,1.0,45.0,1.0,170.5,0.0,0.0
66140,Sudeste,RJ,Niterói,1.0,45.0,1.0,176.0,3.0,53.298
66141,Sudeste,RJ,Niterói,2.0,90.0,2.0,852.5,3.0,2.7
66142,Sudeste,RJ,Niterói,1.0,45.0,1.0,44.0,1.0,5.922000000000001
66143,Sudeste,RJ,Niterói,1.0,45.0,1.0,132.0,2.0,4.578
66144,Sudeste,RJ,Niterói,1.0,45.0,1.0,85.25,1.0,17.766000000000002
66145,Sudeste,RJ,Niterói,1.0,45.0,1.0,85.25,1.0,17.766000000000002
66146,Sudeste,RJ,Niterói,1.0,45.0,2.0,186.00000000000003,2.0,71.06400000000001
66147,Sudeste,MG,Belo Horizonte,1.0,45.0,1.0,137.50000000000003,1.0,0.10284166666666668
66148,Sudeste,RJ,Niterói,1.0,45.0,1.0,32.0,2.0,31.866
66149,Sudeste,MG,Belo Horizonte,1.0,45.0,1.0,412.5,1.0,5.922000000000001
66150,Sudeste,MG,Belo Horizonte,1.0,45.0,1.0,0.0,1.0,47.376000000000005
66151,Sudeste,RJ,Niterói,1.0,45.0,1.0,44.0,1.0,9.870000000000001
66152,Sudeste,RJ,Niterói,1.0,45.0,1.0,44.0,0.0,0.0
66153,Sudeste,RJ,Niterói,1.0,45.0,1.0,132.0,2.0,35.532000000000004
66154,Sudeste,MG,Teófilo Otoni,1.0,45.0,2.0,41.25,3.0,96.444
66155,Sudeste,MG,Governador Valadares,2.0,90.0,2.0,264.0,4.0,30.006
66156,Sudeste,MG,Belo Horizonte,1.0,45.0,1.0,66.0,1.0,17.766000000000002
66157,Sudeste,MG,Belo Horizonte,1.0,45.0,1.0,88.0,2.0,94.75200000000001
66158,Sudeste,MG,Belo Horizonte,1.0,45.0,1.0,0.0,1.0,1.4863333333333335
66159,Sudeste,MG,Belo Horizonte,1.0,45.0,1.0,110.0,0.0,0.0
66160,Sudeste,MG,Belo Horizonte,1.0,45.0,1.0,48.12499999999999,0.0,0.0
66161,Sudeste,MG,Belo Horizonte,1.0,45.0,1.0,0.0,1.0,35.532000000000004
66163,Sudeste,RJ,Niterói,1.0,45.0,1.0,279.0,4.0,49.39200000000001
66164,Sudeste,MG,Governador Valadares,1.0,45.0,1.0,27.5,2.0,35.532000000000004
66165,Sudeste,RJ,São Gonçalo,2.0,90.0,2.0,96.0,1.0,47.376000000000005
66166,Sul,SC,Joinville,1.0,45.0,1.0,41.25,1.0,17.766000000000002
66167,Sul,SC,Joinville,1.0,45.0,1.0,255.75,1.0,17.766000000000002
66168,Sul,SC,Joinville,1.0,45.0,2.0,55.0,2.0,17.766000000000002
66169,Sul,SC,Joinville,1.0,45.0,2.0,88.0,1.0,12.348000000000003
66170,Sul,SC,Joinville,1.0,45.0,1.0,34.375,1.0,17.766000000000002
66171,Sul,SC,Joinville,1.0,45.0,1.0,41.25,1.0,35.532000000000004
66172,Sul,SC,Joinville,1.0,45.0,1.0,66.0,2.0,71.06400000000001
66173,Sul,SC,Joinville,1.0,45.0,1.0,6.875,1.0,17.766000000000002
66174,Sul,SC,Joinville,1.0,45.0,2.0,88.0,2.0,35.532000000000004
66175,Sudeste,RJ,São Gonçalo,1.0,45.0,1.0,32.0,2.0,94.75200000000001
66176,Sudeste,MG,Governador Valadares,1.0,45.0,1.0,78.75,1.0,17.766000000000002
66177,Sudeste,RJ,São Gonçalo,1.0,45.0,1.0,30.0,2.0,71.06400000000001
66178,Sudeste,RJ,São Gonçalo,1.0,45.0,1.0,126.0,1.0,5.922000000000001
66179,Sudeste,RJ,Niterói,1.0,45.0,1.0,126.0,2.0,0.45733333333333337
66180,Sudeste,RJ,São Gonçalo,1.0,45.0,1.0,32.0,2.0,94.75200000000001
66181,Sudeste,MG,Belo Horizonte,1.0,45.0,1.0,6.875,1.0,2.9610000000000003
66182,Sudeste,MG,Belo Horizonte,1.0,45.0,1.0,93.00000000000001,2.0,35.532000000000004
66183,Sul,PR,Curitiba,2.0,90.0,2.0,310.0,1.0,2.9610000000000003
66184,Sul,PR,Curitiba,1.0,45.0,2.0,40.0,0.0,0.0
66185,Sul,PR,Curitiba,1.0,45.0,1.0,48.0,0.0,0.0
66186,Sul,PR,Curitiba,1.0,45.0,1.0,124.00000000000001,1.0,0.6744500000000001
66187,Sul,PR,Curitiba,1.0,45.0,1.0,30.0,1.0,5.922000000000001
66188,Sul,PR,Curitiba,1.0,45.0,1.0,16.0,1.0,2.9610000000000003
66189,Sul,PR,Curitiba,1.0,45.0,2.0,160.0,2.0,2.080866666666667
66190,Sul,PR,Curitiba,2.0,90.0,2.0,132.0,2.0,3.63545
66191,Centro-Oeste,GO,Goiás,1.0,45.0,2.0,27.5,3.0,106.596
66192,Centro-Oeste,GO,Goiás,1.0,45.0,3.0,61.875,2.0,35.532000000000004
66193,Centro-Oeste,GO,Goiás,1.0,45.0,1.0,20.625,0.0,0.0
66194,Centro-Oeste,GO,Goiás,1.0,45.0,2.0,27.5,2.0,71.06400000000001
66195,Centro-Oeste,GO,Goiás,1.0,45.0,1.0,10.0,1.0,6.867000000000002
66196,Centro-Oeste,GO,Goiás,1.0,45.0,1.0,13.75,1.0,12.348000000000003
66197,Centro-Oeste,GO,Goiás,1.0,45.0,1.0,10.0,1.0,0.7000000000000001
66198,Centro-Oeste,GO,Goiás,1.0,45.0,1.0,55.0,3.0,106.596
66199,Centro-Oeste,GO,Goiás,1.0,45.0,1.0,88.0,0.0,0.0
66200,Centro-Oeste,GO,Goiás,1.0,45.0,1.0,88.0,1.0,0.21000000000000002
66201,Centro-Oeste,GO,Goiás,1.0,45.0,2.0,27.5,2.0,71.06400000000001
66202,Centro-Oeste,GO,Goiás,1.0,45.0,1.0,20.625,1.0,6.867000000000002
66203,Centro-Oeste,GO,Goiás,1.0,45.0,3.0,45.0,2.0,49.39200000000001
66204,Centro-Oeste,GO,Goiás,1.0,45.0,2.0,27.5,2.0,71.06400000000001
66205,Centro-Oeste,GO,Goiás,1.0,45.0,1.0,27.5,0.0,0.0
66206,Centro-Oeste,GO,Goiás,1.0,45.0,1.0,96.0,1.0,35.532000000000004
66207,Centro-Oeste,GO,Goiás,1.0,45.0,1.0,255.75,3.0,106.596
66208,Centro-Oeste,GO,Goiás,1.0,45.0,1.0,30.0,3.0,106.596
66209,Centro-Oeste,GO,Goiás,1.0,45.0,2.0,68.75,3.0,106.596
66210,Centro-Oeste,GO,Goiás,1.0,45.0,1.0,13.75,0.0,0.0
66211,Centro-Oeste,GO,Goiás,1.0,45.0,2.0,20.0,1.0,35.532000000000004
66212,Centro-Oeste,GO,Goiás,1.0,45.0,1.0,13.75,1.0,35.532000000000004
66213,Centro-Oeste,GO,Goiás,1.0,45.0,1.0,13.75,1.0,35.532000000000004
66214,Sudeste,RJ,São Gonçalo,1.0,45.0,1.0,10.0,3.0,135.36
66215,Sudeste,RJ,São Gonçalo,1.0,45.0,1.0,16.0,1.0,35.532000000000004
